nama_kabupaten_kota,tahun,gini_ratio,tingkat_penganggur_terbuka,rata_rata_inflasi_tahunan,indeks_pembangunan_manusia,persentase_penduduk_miskin
KABUPATEN TASIKMALAYA,2019,0.398,7.83,0.16,70.4,6.91
KABUPATEN TASIKMALAYA,2019,0.398,7.83,0.16,60.58,6.91
KABUPATEN CIAMIS,2019,0.398,7.83,0.16,75.96,6.91
KABUPATEN CIAMIS,2019,0.398,7.83,0.16,65.7,6.91
KABUPATEN KUNINGAN,2019,0.398,7.83,0.16,74.53,6.91
KABUPATEN KUNINGAN,2019,0.398,7.83,0.16,64.78,6.91
KABUPATEN CIREBON,2019,0.398,7.83,0.16,73.46,6.91
KABUPATEN CIREBON,2019,0.398,7.83,0.16,61.34,6.91
KABUPATEN MAJALENGKA,2019,0.398,7.83,0.16,72.17,6.91
KABUPATEN MAJALENGKA,2019,0.398,7.83,0.16,61.89,6.91
KABUPATEN SUMEDANG,2019,0.398,7.83,0.16,74.78,6.91
KABUPATEN SUMEDANG,2019,0.398,7.83,0.16,71.05,6.91
KABUPATEN INDRAMAYU,2019,0.398,7.83,0.16,71.17,6.91
KABUPATEN INDRAMAYU,2019,0.398,7.83,0.16,62.88,6.91
KABUPATEN SUBANG,2019,0.398,7.83,0.16,72.5,6.91
KABUPATEN SUBANG,2019,0.398,7.83,0.16,65.67,6.91
KABUPATEN PURWAKARTA,2019,0.398,7.83,0.16,75.64,6.91
KABUPATEN PURWAKARTA,2019,0.398,7.83,0.16,65.64,6.91
KABUPATEN KARAWANG,2019,0.398,7.83,0.16,74.57,6.91
KABUPATEN KARAWANG,2019,0.398,7.83,0.16,67.36,6.91
KABUPATEN BEKASI,2019,0.398,7.83,0.16,78.88,6.91
KABUPATEN BEKASI,2019,0.398,7.83,0.16,69.95,6.91
KABUPATEN BANDUNG BARAT,2019,0.398,7.83,0.16,73.39,6.91
KABUPATEN BANDUNG BARAT,2019,0.398,7.83,0.16,58.19,6.91
KABUPATEN PANGANDARAN,2019,0.398,7.83,0.16,72.47,6.91
KABUPATEN PANGANDARAN,2019,0.398,7.83,0.16,65.24,6.91
KOTA BOGOR,2019,0.398,7.83,0.16,80.65,6.91
KOTA BOGOR,2019,0.398,7.83,0.16,73.48,6.91
KOTA SUKABUMI,2019,0.398,7.83,0.16,79.36,6.91
KOTA SUKABUMI,2019,0.398,7.83,0.16,72.57,6.91
KOTA BANDUNG,2019,0.398,7.83,0.16,85.01,6.91
KOTA BANDUNG,2019,0.398,7.83,0.16,80.61,6.91
KOTA CIREBON,2019,0.398,7.83,0.16,78.24,6.91
KOTA CIREBON,2019,0.398,7.83,0.16,73.82,6.91
KOTA BEKASI,2019,0.398,7.83,0.16,86.13,6.91
KOTA BEKASI,2019,0.398,7.83,0.16,80.12,6.91
KOTA DEPOK,2019,0.398,7.83,0.16,85.18,6.91
KOTA DEPOK,2019,0.398,7.83,0.16,79.03,6.91
KOTA CIMAHI,2019,0.398,7.83,0.16,82.09,6.91
KOTA CIMAHI,2019,0.398,7.83,0.16,75.69,6.91
KOTA TASIKMALAYA,2019,0.398,7.83,0.16,76.14,6.91
KOTA TASIKMALAYA,2019,0.398,7.83,0.16,69.65,6.91
KOTA BANJAR,2019,0.398,7.83,0.16,76.64,6.91
KOTA BANJAR,2019,0.398,7.83,0.16,66.77,6.91
KABUPATEN BOGOR,2020,0.403,,10.875,75.18,7.88
KABUPATEN BOGOR,2020,0.403,,10.875,67.08,7.88
KABUPATEN SUKABUMI,2020,0.403,,10.875,72.26,7.88
KABUPATEN SUKABUMI,2020,0.403,,10.875,63.13,7.88
KABUPATEN CIANJUR,2020,0.403,,10.875,69.88,7.88
KABUPATEN CIANJUR,2020,0.403,,10.875,58.8,7.88
KABUPATEN BANDUNG,2020,0.403,,10.875,75.31,7.88
KABUPATEN BANDUNG,2020,0.403,,10.875,70.75,7.88
KABUPATEN GARUT,2020,0.403,,10.875,70.68,7.88
KABUPATEN GARUT,2020,0.403,,10.875,58.16,7.88
KABUPATEN TASIKMALAYA,2020,0.403,,10.875,70.44,7.88
KABUPATEN TASIKMALAYA,2020,0.403,,10.875,60.59,7.88
KABUPATEN CIAMIS,2020,0.403,,10.875,75.97,7.88
KABUPATEN CIAMIS,2020,0.403,,10.875,65.8,7.88
KABUPATEN KUNINGAN,2020,0.403,,10.875,74.82,7.88
KABUPATEN KUNINGAN,2020,0.403,,10.875,64.95,7.88
KABUPATEN CIREBON,2020,0.403,,10.875,73.55,7.88
KABUPATEN CIREBON,2020,0.403,,10.875,61.39,7.88
KABUPATEN MAJALENGKA,2020,0.403,,10.875,72.24,7.88
KABUPATEN MAJALENGKA,2020,0.403,,10.875,62.06,7.88
KABUPATEN SUMEDANG,2020,0.403,,10.875,74.9,7.88
KABUPATEN SUMEDANG,2020,0.403,,10.875,71.29,7.88
KABUPATEN INDRAMAYU,2020,0.403,,10.875,71.55,7.88
KABUPATEN INDRAMAYU,2020,0.403,,10.875,63.07,7.88
KABUPATEN SUBANG,2020,0.403,,10.875,72.79,7.88
KABUPATEN SUBANG,2020,0.403,,10.875,65.9,7.88
KABUPATEN PURWAKARTA,2020,0.403,,10.875,75.83,7.88
KABUPATEN PURWAKARTA,2020,0.403,,10.875,65.64,7.88
KABUPATEN KARAWANG,2020,0.403,,10.875,74.5,7.88
KABUPATEN KARAWANG,2020,0.403,,10.875,67.14,7.88
KABUPATEN BEKASI,2020,0.403,,10.875,79.0,7.88
KABUPATEN BEKASI,2020,0.403,,10.875,69.98,7.88
KABUPATEN BANDUNG BARAT,2020,0.403,,10.875,73.26,7.88
KABUPATEN BANDUNG BARAT,2020,0.403,,10.875,57.92,7.88
KABUPATEN PANGANDARAN,2020,0.403,,10.875,72.41,7.88
KABUPATEN PANGANDARAN,2020,0.403,,10.875,65.01,7.88
KOTA BOGOR,2020,0.403,,10.875,80.59,7.88
KOTA BOGOR,2020,0.403,,10.875,73.35,7.88
KOTA SUKABUMI,2020,0.403,,10.875,79.31,7.88
KOTA SUKABUMI,2020,0.403,,10.875,72.46,7.88
KOTA BANDUNG,2020,0.403,,10.875,84.95,7.88
KOTA BANDUNG,2020,0.403,,10.875,80.43,7.88
KOTA CIREBON,2020,0.403,,10.875,78.2,7.88
KOTA CIREBON,2020,0.403,,10.875,73.81,7.88
KOTA BEKASI,2020,0.403,,10.875,86.04,7.88
KOTA BEKASI,2020,0.403,,10.875,79.97,7.88
KOTA DEPOK,2020,0.403,,10.875,85.14,7.88
KOTA DEPOK,2020,0.403,,10.875,79.19,7.88
KOTA CIMAHI,2020,0.403,,10.875,81.89,7.88
KOTA CIMAHI,2020,0.403,,10.875,75.35,7.88
KOTA TASIKMALAYA,2020,0.403,,10.875,76.23,7.88
KOTA TASIKMALAYA,2020,0.403,,10.875,69.86,7.88
KOTA BANJAR,2020,0.403,,10.875,76.59,7.88
KOTA BANJAR,2020,0.403,,10.875,66.76,7.88
KABUPATEN BOGOR,2020,0.403,8.47,10.875,75.18,7.88
KABUPATEN BOGOR,2020,0.403,8.47,10.875,67.08,7.88
KABUPATEN SUKABUMI,2020,0.403,8.47,10.875,72.26,7.88
KABUPATEN SUKABUMI,2020,0.403,8.47,10.875,63.13,7.88
KABUPATEN CIANJUR,2020,0.403,8.47,10.875,69.88,7.88
KABUPATEN CIANJUR,2020,0.403,8.47,10.875,58.8,7.88
KABUPATEN BANDUNG,2020,0.403,8.47,10.875,75.31,7.88
KABUPATEN BANDUNG,2020,0.403,8.47,10.875,70.75,7.88
KABUPATEN GARUT,2020,0.403,8.47,10.875,70.68,7.88
KABUPATEN GARUT,2020,0.403,8.47,10.875,58.16,7.88
KABUPATEN TASIKMALAYA,2020,0.403,8.47,10.875,70.44,7.88
KABUPATEN TASIKMALAYA,2020,0.403,8.47,10.875,60.59,7.88
KABUPATEN CIAMIS,2020,0.403,8.47,10.875,75.97,7.88
KABUPATEN CIAMIS,2020,0.403,8.47,10.875,65.8,7.88
KABUPATEN KUNINGAN,2020,0.403,8.47,10.875,74.82,7.88
KABUPATEN KUNINGAN,2020,0.403,8.47,10.875,64.95,7.88
KABUPATEN CIREBON,2020,0.403,8.47,10.875,73.55,7.88
KABUPATEN CIREBON,2020,0.403,8.47,10.875,61.39,7.88
KABUPATEN MAJALENGKA,2020,0.403,8.47,10.875,72.24,7.88
KABUPATEN MAJALENGKA,2020,0.403,8.47,10.875,62.06,7.88
KABUPATEN SUMEDANG,2020,0.403,8.47,10.875,74.9,7.88
KABUPATEN SUMEDANG,2020,0.403,8.47,10.875,71.29,7.88
KABUPATEN INDRAMAYU,2020,0.403,8.47,10.875,71.55,7.88
KABUPATEN INDRAMAYU,2020,0.403,8.47,10.875,63.07,7.88
KABUPATEN SUBANG,2020,0.403,8.47,10.875,72.79,7.88
KABUPATEN SUBANG,2020,0.403,8.47,10.875,65.9,7.88
KABUPATEN PURWAKARTA,2020,0.403,8.47,10.875,75.83,7.88
KABUPATEN PURWAKARTA,2020,0.403,8.47,10.875,65.64,7.88
KABUPATEN KARAWANG,2020,0.403,8.47,10.875,74.5,7.88
KABUPATEN KARAWANG,2020,0.403,8.47,10.875,67.14,7.88
KABUPATEN BEKASI,2020,0.403,8.47,10.875,79.0,7.88
KABUPATEN BEKASI,2020,0.403,8.47,10.875,69.98,7.88
KABUPATEN BANDUNG BARAT,2020,0.403,8.47,10.875,73.26,7.88
KABUPATEN BANDUNG BARAT,2020,0.403,8.47,10.875,57.92,7.88
KABUPATEN PANGANDARAN,2020,0.403,8.47,10.875,72.41,7.88
KABUPATEN PANGANDARAN,2020,0.403,8.47,10.875,65.01,7.88
KOTA BOGOR,2020,0.403,8.47,10.875,80.59,7.88
KOTA BOGOR,2020,0.403,8.47,10.875,73.35,7.88
KOTA SUKABUMI,2020,0.403,8.47,10.875,79.31,7.88
KOTA SUKABUMI,2020,0.403,8.47,10.875,72.46,7.88
KOTA BANDUNG,2020,0.403,8.47,10.875,84.95,7.88
KOTA BANDUNG,2020,0.403,8.47,10.875,80.43,7.88
KOTA CIREBON,2020,0.403,8.47,10.875,78.2,7.88
KOTA CIREBON,2020,0.403,8.47,10.875,73.81,7.88
KOTA BEKASI,2020,0.403,8.47,10.875,86.04,7.88
KOTA BEKASI,2020,0.403,8.47,10.875,79.97,7.88
KOTA DEPOK,2020,0.403,8.47,10.875,85.14,7.88
KOTA DEPOK,2020,0.403,8.47,10.875,79.19,7.88
KOTA CIMAHI,2020,0.403,8.47,10.875,81.89,7.88
KOTA CIMAHI,2020,0.403,8.47,10.875,75.35,7.88
KOTA TASIKMALAYA,2020,0.403,8.47,10.875,76.23,7.88
KOTA TASIKMALAYA,2020,0.403,8.47,10.875,69.86,7.88
KOTA BANJAR,2020,0.403,8.47,10.875,76.59,7.88
KOTA BANJAR,2020,0.403,8.47,10.875,66.76,7.88
KABUPATEN BOGOR,2020,0.398,,10.875,75.18,7.88
KABUPATEN BOGOR,2020,0.398,,10.875,67.08,7.88
KABUPATEN SUKABUMI,2020,0.398,,10.875,72.26,7.88
KABUPATEN SUKABUMI,2020,0.398,,10.875,63.13,7.88
KABUPATEN CIANJUR,2020,0.398,,10.875,69.88,7.88
KABUPATEN CIANJUR,2020,0.398,,10.875,58.8,7.88
KABUPATEN BANDUNG,2020,0.398,,10.875,75.31,7.88
KABUPATEN BANDUNG,2020,0.398,,10.875,70.75,7.88
KABUPATEN GARUT,2020,0.398,,10.875,70.68,7.88
KABUPATEN GARUT,2020,0.398,,10.875,58.16,7.88
KABUPATEN TASIKMALAYA,2020,0.398,,10.875,70.44,7.88
KABUPATEN TASIKMALAYA,2020,0.398,,10.875,60.59,7.88
KABUPATEN CIAMIS,2020,0.398,,10.875,75.97,7.88
KABUPATEN CIAMIS,2020,0.398,,10.875,65.8,7.88
KABUPATEN KUNINGAN,2020,0.398,,10.875,74.82,7.88
KABUPATEN KUNINGAN,2020,0.398,,10.875,64.95,7.88
KABUPATEN CIREBON,2020,0.398,,10.875,73.55,7.88
KABUPATEN CIREBON,2020,0.398,,10.875,61.39,7.88
KABUPATEN MAJALENGKA,2020,0.398,,10.875,72.24,7.88
KABUPATEN MAJALENGKA,2020,0.398,,10.875,62.06,7.88
KABUPATEN SUMEDANG,2020,0.398,,10.875,74.9,7.88
KABUPATEN SUMEDANG,2020,0.398,,10.875,71.29,7.88
KABUPATEN INDRAMAYU,2020,0.398,,10.875,71.55,7.88
KABUPATEN INDRAMAYU,2020,0.398,,10.875,63.07,7.88
KABUPATEN SUBANG,2020,0.398,,10.875,72.79,7.88
KABUPATEN SUBANG,2020,0.398,,10.875,65.9,7.88
KABUPATEN PURWAKARTA,2020,0.398,,10.875,75.83,7.88
KABUPATEN PURWAKARTA,2020,0.398,,10.875,65.64,7.88
KABUPATEN KARAWANG,2020,0.398,,10.875,74.5,7.88
KABUPATEN KARAWANG,2020,0.398,,10.875,67.14,7.88
KABUPATEN BEKASI,2020,0.398,,10.875,79.0,7.88
KABUPATEN BEKASI,2020,0.398,,10.875,69.98,7.88
KABUPATEN BANDUNG BARAT,2020,0.398,,10.875,73.26,7.88
KABUPATEN BANDUNG BARAT,2020,0.398,,10.875,57.92,7.88
KABUPATEN PANGANDARAN,2020,0.398,,10.875,72.41,7.88
KABUPATEN PANGANDARAN,2020,0.398,,10.875,65.01,7.88
KOTA BOGOR,2020,0.398,,10.875,80.59,7.88
KOTA BOGOR,2020,0.398,,10.875,73.35,7.88
KOTA SUKABUMI,2020,0.398,,10.875,79.31,7.88
KOTA SUKABUMI,2020,0.398,,10.875,72.46,7.88
KOTA BANDUNG,2020,0.398,,10.875,84.95,7.88
KOTA BANDUNG,2020,0.398,,10.875,80.43,7.88
KOTA CIREBON,2020,0.398,,10.875,78.2,7.88
KOTA CIREBON,2020,0.398,,10.875,73.81,7.88
KOTA BEKASI,2020,0.398,,10.875,86.04,7.88
KOTA BEKASI,2020,0.398,,10.875,79.97,7.88
KOTA DEPOK,2020,0.398,,10.875,85.14,7.88
KOTA DEPOK,2020,0.398,,10.875,79.19,7.88
KOTA CIMAHI,2020,0.398,,10.875,81.89,7.88
KOTA CIMAHI,2020,0.398,,10.875,75.35,7.88
KOTA TASIKMALAYA,2020,0.398,,10.875,76.23,7.88
KOTA TASIKMALAYA,2020,0.398,,10.875,69.86,7.88
KOTA BANJAR,2020,0.398,,10.875,76.59,7.88
KOTA BANJAR,2020,0.398,,10.875,66.76,7.88
KABUPATEN BOGOR,2020,0.398,8.47,10.875,75.18,7.88
KABUPATEN BOGOR,2020,0.398,8.47,10.875,67.08,7.88
KABUPATEN SUKABUMI,2020,0.398,8.47,10.875,72.26,7.88
KABUPATEN SUKABUMI,2020,0.398,8.47,10.875,63.13,7.88
KABUPATEN CIANJUR,2020,0.398,8.47,10.875,69.88,7.88
KABUPATEN CIANJUR,2020,0.398,8.47,10.875,58.8,7.88
KABUPATEN BANDUNG,2020,0.398,8.47,10.875,75.31,7.88
KABUPATEN BANDUNG,2020,0.398,8.47,10.875,70.75,7.88
KABUPATEN GARUT,2020,0.398,8.47,10.875,70.68,7.88
KABUPATEN GARUT,2020,0.398,8.47,10.875,58.16,7.88
KABUPATEN TASIKMALAYA,2020,0.398,8.47,10.875,70.44,7.88
KABUPATEN TASIKMALAYA,2020,0.398,8.47,10.875,60.59,7.88
KABUPATEN CIAMIS,2020,0.398,8.47,10.875,75.97,7.88
KABUPATEN CIAMIS,2020,0.398,8.47,10.875,65.8,7.88
KABUPATEN KUNINGAN,2020,0.398,8.47,10.875,74.82,7.88
KABUPATEN KUNINGAN,2020,0.398,8.47,10.875,64.95,7.88
KABUPATEN CIREBON,2020,0.398,8.47,10.875,73.55,7.88
KABUPATEN CIREBON,2020,0.398,8.47,10.875,61.39,7.88
KABUPATEN MAJALENGKA,2020,0.398,8.47,10.875,72.24,7.88
KABUPATEN MAJALENGKA,2020,0.398,8.47,10.875,62.06,7.88
KABUPATEN SUMEDANG,2020,0.398,8.47,10.875,74.9,7.88
KABUPATEN SUMEDANG,2020,0.398,8.47,10.875,71.29,7.88
KABUPATEN INDRAMAYU,2020,0.398,8.47,10.875,71.55,7.88
KABUPATEN INDRAMAYU,2020,0.398,8.47,10.875,63.07,7.88
KABUPATEN SUBANG,2020,0.398,8.47,10.875,72.79,7.88
KABUPATEN SUBANG,2020,0.398,8.47,10.875,65.9,7.88
KABUPATEN PURWAKARTA,2020,0.398,8.47,10.875,75.83,7.88
KABUPATEN PURWAKARTA,2020,0.398,8.47,10.875,65.64,7.88
KABUPATEN KARAWANG,2020,0.398,8.47,10.875,74.5,7.88
KABUPATEN KARAWANG,2020,0.398,8.47,10.875,67.14,7.88
KABUPATEN BEKASI,2020,0.398,8.47,10.875,79.0,7.88
KABUPATEN BEKASI,2020,0.398,8.47,10.875,69.98,7.88
KABUPATEN BANDUNG BARAT,2020,0.398,8.47,10.875,73.26,7.88
KABUPATEN BANDUNG BARAT,2020,0.398,8.47,10.875,57.92,7.88
KABUPATEN PANGANDARAN,2020,0.398,8.47,10.875,72.41,7.88
KABUPATEN PANGANDARAN,2020,0.398,8.47,10.875,65.01,7.88
KOTA BOGOR,2020,0.398,8.47,10.875,80.59,7.88
KOTA BOGOR,2020,0.398,8.47,10.875,73.35,7.88
KOTA SUKABUMI,2020,0.398,8.47,10.875,79.31,7.88
KOTA SUKABUMI,2020,0.398,8.47,10.875,72.46,7.88
KOTA BANDUNG,2020,0.398,8.47,10.875,84.95,7.88
KOTA BANDUNG,2020,0.398,8.47,10.875,80.43,7.88
KOTA CIREBON,2020,0.398,8.47,10.875,78.2,7.88
KOTA CIREBON,2020,0.398,8.47,10.875,73.81,7.88
KOTA BEKASI,2020,0.398,8.47,10.875,86.04,7.88
KOTA BEKASI,2020,0.398,8.47,10.875,79.97,7.88
KOTA DEPOK,2020,0.398,8.47,10.875,85.14,7.88
KOTA DEPOK,2020,0.398,8.47,10.875,79.19,7.88
KOTA CIMAHI,2020,0.398,8.47,10.875,81.89,7.88
KOTA CIMAHI,2020,0.398,8.47,10.875,75.35,7.88
KOTA TASIKMALAYA,2020,0.398,8.47,10.875,76.23,7.88
KOTA TASIKMALAYA,2020,0.398,8.47,10.875,69.86,7.88
KOTA BANJAR,2020,0.398,8.47,10.875,76.59,7.88
KOTA BANJAR,2020,0.398,8.47,10.875,66.76,7.88
KABUPATEN BOGOR,2021,0.412,10.57,97.0,75.38,
KABUPATEN BOGOR,2021,0.412,10.57,97.0,67.39,
KABUPATEN SUKABUMI,2021,0.412,10.57,97.0,72.44,
KABUPATEN SUKABUMI,2021,0.412,10.57,97.0,63.34,
KABUPATEN CIANJUR,2021,0.412,10.57,97.0,70.08,
KABUPATEN CIANJUR,2021,0.412,10.57,97.0,59.08,
KABUPATEN BANDUNG,2021,0.412,10.57,97.0,75.75,
KABUPATEN BANDUNG,2021,0.412,10.57,97.0,71.09,
KABUPATEN GARUT,2021,0.412,10.57,97.0,71.13,
KABUPATEN GARUT,2021,0.412,10.57,97.0,58.42,
KABUPATEN TASIKMALAYA,2021,0.412,10.57,97.0,70.59,
KABUPATEN TASIKMALAYA,2021,0.412,10.57,97.0,60.96,
KABUPATEN CIAMIS,2021,0.412,10.57,97.0,76.41,
KABUPATEN CIAMIS,2021,0.412,10.57,97.0,66.13,
KABUPATEN KUNINGAN,2021,0.412,10.57,97.0,75.06,
KABUPATEN KUNINGAN,2021,0.412,10.57,97.0,65.28,
KABUPATEN CIREBON,2021,0.412,10.57,97.0,73.96,
KABUPATEN CIREBON,2021,0.412,10.57,97.0,61.75,
KABUPATEN MAJALENGKA,2021,0.412,10.57,97.0,72.46,
KABUPATEN MAJALENGKA,2021,0.412,10.57,97.0,62.49,
KABUPATEN SUMEDANG,2021,0.412,10.57,97.0,75.07,
KABUPATEN SUMEDANG,2021,0.412,10.57,97.0,71.45,
KABUPATEN INDRAMAYU,2021,0.412,10.57,97.0,72.12,
KABUPATEN INDRAMAYU,2021,0.412,10.57,97.0,63.41,
KABUPATEN SUBANG,2021,0.412,10.57,97.0,73.01,
KABUPATEN SUBANG,2021,0.412,10.57,97.0,66.08,
KABUPATEN PURWAKARTA,2021,0.412,10.57,97.0,75.99,
KABUPATEN PURWAKARTA,2021,0.412,10.57,97.0,65.88,
KABUPATEN KARAWANG,2021,0.412,10.57,97.0,74.76,
KABUPATEN KARAWANG,2021,0.412,10.57,97.0,67.5,
KABUPATEN BEKASI,2021,0.412,10.57,97.0,79.23,
KABUPATEN BEKASI,2021,0.412,10.57,97.0,70.42,
KABUPATEN BANDUNG BARAT,2021,0.412,10.57,97.0,73.5,
KABUPATEN BANDUNG BARAT,2021,0.412,10.57,97.0,58.12,
KABUPATEN PANGANDARAN,2021,0.412,10.57,97.0,72.54,
KABUPATEN PANGANDARAN,2021,0.412,10.57,97.0,65.23,
KOTA BOGOR,2021,0.412,10.57,97.0,81.23,
KOTA BOGOR,2021,0.412,10.57,97.0,73.81,
KOTA SUKABUMI,2021,0.412,10.57,97.0,79.7,
KOTA SUKABUMI,2021,0.412,10.57,97.0,72.99,
KOTA BANDUNG,2021,0.412,10.57,97.0,85.39,
KOTA BANDUNG,2021,0.412,10.57,97.0,80.88,
KOTA CIREBON,2021,0.412,10.57,97.0,78.56,
KOTA CIREBON,2021,0.412,10.57,97.0,74.21,
KOTA BEKASI,2021,0.412,10.57,97.0,86.42,
KOTA BEKASI,2021,0.412,10.57,97.0,80.45,
KOTA DEPOK,2021,0.412,10.57,97.0,85.6,
KOTA DEPOK,2021,0.412,10.57,97.0,79.57,
KOTA CIMAHI,2021,0.412,10.57,97.0,82.19,
KOTA CIMAHI,2021,0.412,10.57,97.0,75.57,
KOTA TASIKMALAYA,2021,0.412,10.57,97.0,76.49,
KOTA TASIKMALAYA,2021,0.412,10.57,97.0,70.17,
KOTA BANJAR,2021,0.412,10.57,97.0,76.97,
KOTA BANJAR,2021,0.412,10.57,97.0,66.97,
KABUPATEN BOGOR,2021,0.412,,97.0,75.38,
KABUPATEN BOGOR,2021,0.412,,97.0,67.39,
KABUPATEN SUKABUMI,2021,0.412,,97.0,72.44,
KABUPATEN SUKABUMI,2021,0.412,,97.0,63.34,
KABUPATEN CIANJUR,2021,0.412,,97.0,70.08,
KABUPATEN CIANJUR,2021,0.412,,97.0,59.08,
KABUPATEN BANDUNG,2021,0.412,,97.0,75.75,
KABUPATEN BANDUNG,2021,0.412,,97.0,71.09,
KABUPATEN GARUT,2021,0.412,,97.0,71.13,
KABUPATEN GARUT,2021,0.412,,97.0,58.42,
KABUPATEN TASIKMALAYA,2021,0.412,,97.0,70.59,
KABUPATEN TASIKMALAYA,2021,0.412,,97.0,60.96,
KABUPATEN CIAMIS,2021,0.412,,97.0,76.41,
KABUPATEN CIAMIS,2021,0.412,,97.0,66.13,
KABUPATEN KUNINGAN,2021,0.412,,97.0,75.06,
KABUPATEN KUNINGAN,2021,0.412,,97.0,65.28,
KABUPATEN CIREBON,2021,0.412,,97.0,73.96,
KABUPATEN CIREBON,2021,0.412,,97.0,61.75,
KABUPATEN MAJALENGKA,2021,0.412,,97.0,72.46,
KABUPATEN MAJALENGKA,2021,0.412,,97.0,62.49,
KABUPATEN SUMEDANG,2021,0.412,,97.0,75.07,
KABUPATEN SUMEDANG,2021,0.412,,97.0,71.45,
KABUPATEN INDRAMAYU,2021,0.412,,97.0,72.12,
KABUPATEN INDRAMAYU,2021,0.412,,97.0,63.41,
KABUPATEN SUBANG,2021,0.412,,97.0,73.01,
KABUPATEN SUBANG,2021,0.412,,97.0,66.08,
KABUPATEN PURWAKARTA,2021,0.412,,97.0,75.99,
KABUPATEN PURWAKARTA,2021,0.412,,97.0,65.88,
KABUPATEN KARAWANG,2021,0.412,,97.0,74.76,
KABUPATEN KARAWANG,2021,0.412,,97.0,67.5,
KABUPATEN BEKASI,2021,0.412,,97.0,79.23,
KABUPATEN BEKASI,2021,0.412,,97.0,70.42,
KABUPATEN BANDUNG BARAT,2021,0.412,,97.0,73.5,
KABUPATEN BANDUNG BARAT,2021,0.412,,97.0,58.12,
KABUPATEN PANGANDARAN,2021,0.412,,97.0,72.54,
KABUPATEN PANGANDARAN,2021,0.412,,97.0,65.23,
KOTA BOGOR,2021,0.412,,97.0,81.23,
KOTA BOGOR,2021,0.412,,97.0,73.81,
KOTA SUKABUMI,2021,0.412,,97.0,79.7,
KOTA SUKABUMI,2021,0.412,,97.0,72.99,
KOTA BANDUNG,2021,0.412,,97.0,85.39,
KOTA BANDUNG,2021,0.412,,97.0,80.88,
KOTA CIREBON,2021,0.412,,97.0,78.56,
KOTA CIREBON,2021,0.412,,97.0,74.21,
KOTA BEKASI,2021,0.412,,97.0,86.42,
KOTA BEKASI,2021,0.412,,97.0,80.45,
KOTA DEPOK,2021,0.412,,97.0,85.6,
KOTA DEPOK,2021,0.412,,97.0,79.57,
KOTA CIMAHI,2021,0.412,,97.0,82.19,
KOTA CIMAHI,2021,0.412,,97.0,75.57,
KOTA TASIKMALAYA,2021,0.412,,97.0,76.49,
KOTA TASIKMALAYA,2021,0.412,,97.0,70.17,
KOTA BANJAR,2021,0.412,,97.0,76.97,
KOTA BANJAR,2021,0.412,,97.0,66.97,
KABUPATEN BOGOR,2021,0.406,10.57,97.0,75.38,
KABUPATEN BOGOR,2021,0.406,10.57,97.0,67.39,
KABUPATEN SUKABUMI,2021,0.406,10.57,97.0,72.44,
KABUPATEN SUKABUMI,2021,0.406,10.57,97.0,63.34,
KABUPATEN CIANJUR,2021,0.406,10.57,97.0,70.08,
KABUPATEN CIANJUR,2021,0.406,10.57,97.0,59.08,
KABUPATEN BANDUNG,2021,0.406,10.57,97.0,75.75,
KABUPATEN BANDUNG,2021,0.406,10.57,97.0,71.09,
KABUPATEN GARUT,2021,0.406,10.57,97.0,71.13,
KABUPATEN GARUT,2021,0.406,10.57,97.0,58.42,
KABUPATEN TASIKMALAYA,2021,0.406,10.57,97.0,70.59,
KABUPATEN TASIKMALAYA,2021,0.406,10.57,97.0,60.96,
KABUPATEN CIAMIS,2021,0.406,10.57,97.0,76.41,
KABUPATEN CIAMIS,2021,0.406,10.57,97.0,66.13,
KABUPATEN KUNINGAN,2021,0.406,10.57,97.0,75.06,
KABUPATEN KUNINGAN,2021,0.406,10.57,97.0,65.28,
KABUPATEN CIREBON,2021,0.406,10.57,97.0,73.96,
KABUPATEN CIREBON,2021,0.406,10.57,97.0,61.75,
KABUPATEN MAJALENGKA,2021,0.406,10.57,97.0,72.46,
KABUPATEN MAJALENGKA,2021,0.406,10.57,97.0,62.49,
KABUPATEN SUMEDANG,2021,0.406,10.57,97.0,75.07,
KABUPATEN SUMEDANG,2021,0.406,10.57,97.0,71.45,
KABUPATEN INDRAMAYU,2021,0.406,10.57,97.0,72.12,
KABUPATEN INDRAMAYU,2021,0.406,10.57,97.0,63.41,
KABUPATEN SUBANG,2021,0.406,10.57,97.0,73.01,
KABUPATEN SUBANG,2021,0.406,10.57,97.0,66.08,
KABUPATEN PURWAKARTA,2021,0.406,10.57,97.0,75.99,
KABUPATEN PURWAKARTA,2021,0.406,10.57,97.0,65.88,
KABUPATEN KARAWANG,2021,0.406,10.57,97.0,74.76,
KABUPATEN KARAWANG,2021,0.406,10.57,97.0,67.5,
KABUPATEN BEKASI,2021,0.406,10.57,97.0,79.23,
KABUPATEN BEKASI,2021,0.406,10.57,97.0,70.42,
KABUPATEN BANDUNG BARAT,2021,0.406,10.57,97.0,73.5,
KABUPATEN BANDUNG BARAT,2021,0.406,10.57,97.0,58.12,
KABUPATEN PANGANDARAN,2021,0.406,10.57,97.0,72.54,
KABUPATEN PANGANDARAN,2021,0.406,10.57,97.0,65.23,
KOTA BOGOR,2021,0.406,10.57,97.0,81.23,
KOTA BOGOR,2021,0.406,10.57,97.0,73.81,
